Date,passengers
1/31/2012,279748
2/29/2012,350630
3/31/2012,372514
4/30/2012,381269
5/31/2012,362150
6/30/2012,285705
7/31/2012,291446
8/31/2012,289185
9/30/2012,288104
10/31/2012,298017
11/30/2012,320141
12/31/2012,342506
1/31/2013,283552
2/28/2013,280438
3/31/2013,295865
4/30/2013,317096
5/31/2013,316483
6/30/2013,323991
7/31/2013,339628
8/31/2013,371309
9/30/2013,356857
10/31/2013,315647
11/30/2013,330584
12/31/2013,346390
1/31/2014,301164
2/28/2014,317454
3/31/2014,361824
4/30/2014,381741
5/31/2014,355674
6/30/2014,364979
7/31/2014,365383
8/31/2014,367598
9/30/2014,348551
10/31/2014,358813
11/30/2014,391408
12/31/2014,434782
1/31/2015,333528
2/28/2015,289030
3/31/2015,341362
4/30/2015,334538
5/31/2015,326820
6/30/2015,328227
7/31/2015,336793
8/31/2015,362951
9/30/2015,335746
10/31/2015,339316
11/30/2015,354846
12/31/2015,385604
1/31/2016,319965
2/29/2016,302066
3/31/2016,341328
4/30/2016,351474
5/31/2016,332160
6/30/2016,300219
7/31/2016,301266
8/31/2016,323039
9/30/2016,267465
10/31/2016,291441
11/30/2016,315608
12/31/2016,302802
